headword,pos,english,french,irish,ease_rating,opacity_low,opacity_mid,opacity_high,notes,examples
a,particle,the/a,le/la/un/une,an/na,1,0.1,0.2,0.3,"Definite/indefinite article, varies by context","a teach (the house) | a bhean (the woman)"
agus,conjunction,and,et,agus,1,0.1,0.2,0.1,"Basic conjunction, Irish-derived","Seán agus Máire (Sean and Mary)"
am,noun,time,temps,am,2,0.2,0.3,0.1,"Temporal concept, Irish-derived","am dinner (dinner time) | am codlata (sleep time)"
anseo,adverb,here,ici,anseo,2,0.3,0.4,0.1,"Location marker, Irish-derived","táim anseo (I am here)"
ar,preposition,on,sur,ar,2,0.3,0.4,0.1,"Spatial/temporal preposition, Irish-derived","ar an table (on the table)"
baile,noun,home,maison,baile,3,0.4,0.5,0.1,"Dwelling place, Irish-derived","ag dul baile (going home) | mo baile (my home)"
bean,noun,woman,femme,bean,2,0.3,0.4,0.1,"Adult female, Irish-derived","bean óg (young woman) | an bhean (the woman)"
beag,adjective,small,petit,beag,2,0.3,0.4,0.1,"Size descriptor, Irish-derived","teach beag (small house) | páiste beag (small child)"
bé,verb,be,être,bí,1,0.2,0.3,0.1,"Copular verb, Irish-derived","táim (I am) | bhí mé (I was)"
book,noun,book,livre,leabhar,1,0.1,0.4,0.6,"Reading material, English-derived","mo book (my book) | book maith (good book)"
boy,noun,boy,garçon,buachaill,1,0.1,0.4,0.7,"Young male, English-derived","boy óg (young boy) | an boy (the boy)"
car,noun,car,voiture,carr,1,0.1,0.5,0.4,"Vehicle, English-derived","car mór (big car) | sa car (in the car)"
cat,noun,cat,chat,cat,1,0.1,0.4,0.2,"Feline pet, English-derived","cat beag (small cat) | mo chat (my cat)"
chair,noun,chair,chaise,cathaoir,1,0.1,0.4,0.6,"Furniture for sitting, English-derived","chair bog (soft chair) | ar an chair (on the chair)"
child,noun,child,enfant,páiste,1,0.1,0.4,0.5,"Young person, English-derived","child beag (small child) | mo child (my child)"
chéile,pronoun,together,ensemble,le chéile,3,0.5,0.4,0.1,"Togetherness pronoun, Irish-derived","le chéile (together) | ag obair le chéile (working together)"
codail,verb,sleep,dormir,codail,3,0.4,0.5,0.1,"Rest state, Irish-derived","ag codail (sleeping) | codail go maith (sleep well)"
come,verb,come,venir,tar,1,0.1,0.3,0.5,"Movement toward, English-derived","come anseo (come here) | ag teacht (coming)"
craic,noun,fun,amusement,craic,4,0.6,0.7,0.1,"Enjoyment/entertainment, Irish-derived","craic mhaith (good fun) | ag déanamh craic (having fun)"
cuisine,noun,kitchen,cuisine,cistin,2,0.4,0.1,0.6,"Cooking space, French-derived","sa cuisine (in the kitchen) | cuisine mhór (big kitchen)"
día,noun,day,jour,lá,3,0.4,0.3,0.1,"24-hour period, Irish-derived","día maith (good day) | gach día (every day)"
dinner,noun,dinner,dîner,dinnéar,1,0.1,0.3,0.4,"Evening meal, English-derived","ag ithe dinner (eating dinner) | dinner blasta (tasty dinner)"
dog,noun,dog,chien,madra,1,0.1,0.4,0.5,"Canine pet, English-derived","dog mór (big dog) | mo dhog (my dog)"
door,noun,door,porte,doras,1,0.1,0.4,0.5,"Entrance/exit, English-derived","door oscailte (open door) | ag an door (at the door)"
eat,verb,eat,manger,ith,1,0.1,0.3,0.4,"Consume food, English-derived","ag ithe (eating) | ith do dhinnéar (eat your dinner)"
famille,noun,family,famille,clann,2,0.3,0.1,0.5,"Related group, French-derived","mo famille (my family) | famille mhór (big family)"
